Abbreviation,Blank,Category,Cluster Group,Country,Created Month,Created Year,Date Created,Title,Title of Channel,Type,Youtuber,Average Channel Age,Created Date,Gross tertiary education enrollment (%),Highest Monthly Earnings,Highest Yearly Earnings,Latitude,Longitude,Lowest Monthly Earnings,Lowest Yearly Earnings,Measure Correlation Formula ,Measure Formula,Population,Rank,Subscribers,Subscribers For Last 30 Days,Total Countries Represented,Unemployment rate,Uploads,Urban population,Video Views,Video Views For The Last 30 Days
BD,,News & Politics,Cluster 2,Bangladesh,Feb,2021,10-02-2021,jamuna tv24,jamuna tv24,News & Politics,Jamuna TV,4.271232877,10,20.6,0,0.05,23.684994,90.356331,0,0,0.05,13900000,167310838,809,13900000,200000,1,4.19,6,60987417,12129583055,1
US,,Music,Cluster 1,United States,Dec,2006,15-12-2006,Atlantic Records,Atlantic Records,Music,Atlantic Records,18.438356164,15,88.2,389100,4700000,37.09024,-95.712891,24300,291900,4700000,13900000,328239523,810,13900000,100000,1,14.7,1660,270663028,12513842343,97284000
US,,Others,Cluster 1,United States,Oct,2018,12-10-2018,ýýýýýýýý ýý ýýýýýýýýýýýý,ýýýýýýýý ýý ýýýýýýýýýýýý,Others,ýýýýýýýý ýý ýýýýýýýýýýýý,6.605479452,12,88.2,457000,5500000,37.09024,-95.712891,28600,342800,5500000,13900000,328239523,811,13900000,200000,1,14.7,504,270663028,8451754769,114261000
US,,Education,Cluster 1,United States,Jul,2010,21-07-2010,Veritasium,Veritasium,Education,Veritasium,14.838356164,21,88.2,176600,2100000,37.09024,-95.712891,11000,132400,2100000,13900000,328239523,812,13900000,200000,1,14.7,369,270663028,2165885634,44149000
US,,Entertainment,Cluster 1,United States,Jan,2015,03-01-2015,Airrack,Airrack,Entertainment,Airrack,10.380821918,3,88.2,398600,4800000,37.09024,-95.712891,24900,299000,4800000,13800000,328239523,814,13800000,300000,1,14.7,173,270663028,2224911030,99654000
CA,,Science & Technology,Cluster 4,Canada,Apr,2006,20-04-2006,Hacksmith Industries,Hacksmith Industries,Science & Technology,Hacksmith Industries,19.093150685,20,68.9,335800,4000000,56.130366,-106.346771,21000,251800,4000000,13800000,36991981,815,13800000,100000,1,5.56,887,30628482,1820559912,83943000
NL,,Gaming,Cluster 4,Netherlands,Jul,2017,02-07-2017,ýýýýýýýý/Atro,ýýýýýýýý/Atro,Gaming,ýýýýýýýý/Atro,7.884931507,2,85,220500,2600000,52.132633,5.291266,13800,165400,2600000,13800000,17332850,817,13800000,200000,1,3.2,1952,15924729,2480957682,55122000
MX,,People & Blogs,Cluster 2,Mexico,Mar,2019,13-03-2019,123 GO! Spanish,123 GO! Spanish,People & Blogs,123 GO! Spanish,6.189041096,13,40.2,106100,1300000,23.634501,-102.552784,6600,79600,1300000,13800000,126014024,818,13800000,100000,1,3.42,520,102626859,5019136690,26519000
PK,,News & Politics,Cluster 2,Pakistan,Jan,2007,10-01-2007,Geo News,Geo News,News & Politics,Geo News,18.367123288,10,9,400200,4800000,30.375321,69.345116,25000,300200,4800000,13800000,216565318,819,13800000,100000,1,4.45,190093,79927762,5727888539,100053000
IN,,Shows,Cluster 3,India,Nov,2014,17-11-2014,Kids TV India Hindi Nursery Rhymes,Kids TV India Hindi Nursery Rhymes,Shows,Kids TV India Hindi Nursery Rhymes,10.509589041,17,28.1,314600,3800000,20.593684,78.96288,19700,236000,3800000,13800000,1366417754,820,13800000,100000,1,5.36,1505,471031528,6646953396,78651000
IN,,Music,Cluster 3,India,Aug,2009,15-08-2009,Think Music India,Think Music India,Music,Think Music India,15.769863014,15,28.1,868400,10400000,20.593684,78.96288,54300,651300,10400000,13800000,1366417754,821,13800000,200000,1,5.36,4978,471031528,11039343563,217106000
BR,,Comedy,Cluster 1,Brazil,Feb,2015,06-02-2015,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Comedy,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,10.287671233,6,51.3,351200,4200000,-14.235004,-51.92528,22000,263400,4200000,13700000,212559417,822,13700000,200000,1,12.08,696,183241641,1967930734,87804000
IN,,Entertainment,Cluster 3,India,Oct,2013,12-10-2013,Goldmines Premiere,Goldmines Premiere,Entertainment,Goldmines Premiere,11.608219178,12,28.1,150600,1800000,20.593684,78.96288,9400,112900,1800000,13700000,1366417754,823,13700000,100000,1,5.36,975,471031528,1973638757,37648000
BR,,Entertainment,Cluster 1,Brazil,Jan,2008,22-01-2008,MAIKI021,MAIKI021,Entertainment,MAIKI021,17.334246575,22,51.3,29800,357000,-14.235004,-51.92528,1900,22300,357000,13700000,212559417,824,13700000,200000,1,12.08,3298,183241641,1950178163,7438000
IN,,Comedy,Cluster 3,India,Aug,2021,15-08-2021,The Vishal bhatt,The Vishal bhatt,Comedy,The Vishal bhatt,3.761643836,15,28.1,1500000,18200000,20.593684,78.96288,94800,1100000,18200000,13700000,1366417754,825,13700000,600000,1,5.36,1040,471031528,9596430464,379240000
IN,,Howto & Style,Cluster 3,India,Aug,2009,02-08-2009,NishaMadhulika,NishaMadhulika,Howto & Style,NishaMadhulika,15.805479452,2,28.1,88900,1100000,20.593684,78.96288,5600,66700,1100000,13700000,1366417754,826,13700000,100000,1,5.36,2158,471031528,2939201386,22235000
IN,,People & Blogs,Cluster 3,India,Jul,2014,22-07-2014,MyMissAnand,MyMissAnand,People & Blogs,MyMissAnand,10.832876712,22,28.1,111500,1300000,20.593684,78.96288,7000,83600,1300000,13700000,1366417754,827,13700000,200000,1,5.36,340,471031528,4963275018,27882000
VN,,Comedy,Cluster 2,Vietnam,Feb,2014,26-02-2014,FAPTV,FAPTV,Comedy,FAPTV,11.232876712,26,28.5,140500,1700000,14.058324,108.277199,8800,105400,1700000,13700000,96462106,828,13700000,200000,1,2.01,863,35332140,5457203710,35124000
BR,,Music,Cluster 1,Brazil,Jun,2009,21-06-2009,Wesley Safadï¿½,Wesley Safadï¿½,Music,Wesley Safadï¿½,15.920547945,21,51.3,256200,3100000,-14.235004,-51.92528,16000,192200,3100000,13700000,212559417,829,13700000,200000,1,12.08,438,183241641,8134379376,64059000
IN,,Education,Cluster 3,India,Oct,2011,20-10-2011,infobells,infobells,Education,infobells,13.589041096,20,28.1,95600,1100000,20.593684,78.96288,6000,71700,1100000,13700000,1366417754,830,13700000,100000,1,5.36,495,471031528,5178142148,23893000
ES,,Gaming,Cluster 1,Spain,Jan,2014,02-01-2014,Acenix,Acenix,Gaming,Acenix,11.383561644,2,88.9,189700,2300000,40.463667,-3.74922,11900,142300,2300000,13600000,47076781,832,13600000,200000,1,13.96,368,37927409,2122062016,47436000
PH,,Others,Cluster 2,Philippines,Oct,2017,19-10-2017,Zeinab Harake,Zeinab Harake,Others,Zeinab Harake,7.586301370,19,35.5,48400,580200,12.879721,121.774017,3000,36300,580200,13600000,108116615,833,13600000,100000,1,2.15,273,50975903,896891351,12088000
US,,Sports,Cluster 1,United States,Feb,2011,01-02-2011,DALLMYD,DALLMYD,Sports,DALLMYD,14.304109589,1,88.2,122700,1500000,37.09024,-95.712891,7700,92000,1500000,13600000,328239523,834,13600000,100000,1,14.7,412,270663028,1948925559,30677000
US,,Music,Cluster 1,United States,May,2007,20-05-2007,Lindsey Stirling,Lindsey Stirling,Music,Lindsey Stirling,18.010958904,20,88.2,61100,733300,37.09024,-95.712891,3800,45800,733300,13600000,328239523,835,13600000,100000,1,14.7,199,270663028,3764608356,15277000
IN,,Education,Cluster 3,India,Dec,2016,25-12-2016,JOJO TV - Hindi Stories,JOJO TV - Hindi Stories,Education,JOJO TV - Hindi Stories,8.402739726,25,28.1,43100,516700,20.593684,78.96288,2700,32300,516700,13600000,1366417754,836,13600000,100000,1,5.36,1097,471031528,5141201173,10764000
GB,,Pets & Animals,Cluster 4,United Kingdom,Nov,2005,12-11-2005,BBC,BBC,Pets & Animals,BBC,19.528767123,12,60,177700,2100000,55.378051,-3.435973,11100,133200,2100000,13600000,66834405,837,13600000,100000,1,3.85,16047,55908316,9685060624,44414000
US,,Entertainment,Cluster 1,United States,Jul,2013,23-07-2013,Saturday Night Live,Saturday Night Live,Entertainment,Saturday Night Live,11.830136986,23,88.2,226500,2700000,37.09024,-95.712891,14200,169900,2700000,13600000,328239523,838,13600000,200000,1,14.7,8335,270663028,14717282742,56626000
ID,,Gaming,Cluster 2,Indonesia,Jul,2019,19-07-2019,BUDI01 GAMING,BUDI01 GAMING,Gaming,BUDI01 GAMING,5.838356164,19,36.3,53700,644900,-0.789275,113.921327,3400,40300,644900,13500000,270203917,839,13500000,200000,1,4.69,319,151509724,1181292450,13436000
CA,,Gaming,Cluster 4,Canada,Aug,2008,24-08-2008,Typical Gamer,Typical Gamer,Gaming,Typical Gamer,16.745205479,24,68.9,130200,1600000,56.130366,-106.346771,8100,97700,1600000,13500000,36991981,840,13500000,200000,1,5.56,4312,30628482,4301581610,32557000
IN,,Howto & Style,Cluster 3,India,Mar,2012,10-03-2012,Anaysa,Anaysa,Howto & Style,Anaysa,13.2,10,28.1,118800,1400000,20.593684,78.96288,7400,89100,1400000,13500000,1366417754,841,13500000,200000,1,5.36,591,471031528,3445794123,29706000
GB,,Entertainment,Cluster 4,United Kingdom,Mar,2015,24-03-2015,Julia Gisella,Julia Gisella,Entertainment,JULIA GISELLA,10.161643836,24,60,6,78,55.378051,-3.435973,0.4,5,78,13500000,66834405,842,13500000,130,1,3.85,19,55908316,5380132790,1615
GB,,Music,Cluster 4,United Kingdom,Dec,2006,25-12-2006,Awakening Music,Awakening Music,Music,Awakening Music,18.410958904,25,60,141200,1700000,55.378051,-3.435973,8800,105900,1700000,13500000,66834405,843,13500000,100000,1,3.85,814,55908316,5545936485,35309000
UA,,Entertainment,Cluster 4,Ukraine,Mar,2016,21-03-2016,Lady Diana,Lady Diana,Entertainment,Lady Diana,9.167123288,21,82.7,300600,3600000,48.379433,31.16558,18800,225500,3600000,13500000,44385155,844,13500000,100000,1,8.88,1403,30835699,8265920659,75162000
IN,,Entertainment,Cluster 3,India,Apr,2015,29-04-2015,Sanjoy Das Official,Sanjoy Das Official,Entertainment,Sanjoy Das Official,10.063013699,29,28.1,716900,8600000,20.593684,78.96288,44800,537700,8600000,13500000,1366417754,845,13500000,400000,1,5.36,1793,471031528,3912334359,179232000
GB,,Comedy,Cluster 4,United Kingdom,Mar,2013,30-03-2013,Woody & Kleiny,Woody & Kleiny,Comedy,Woody & Kleiny,12.145205479,30,60,2000000,23800000,55.378051,-3.435973,123900,1500000,23800000,13500000,66834405,846,13500000,400000,1,3.85,975,55908316,11717217293,495561000
IN,,Entertainment,Cluster 3,India,Mar,2019,22-03-2019,Vijay Kumar Viner Vlogs,Vijay Kumar Viner Vlogs,Entertainment,Vijay Kumar Viner Vlogs,6.164383562,22,28.1,439300,5300000,20.593684,78.96288,27500,329400,5300000,13500000,1366417754,847,13500000,300000,1,5.36,1357,471031528,7958771872,109813000
US,,Music,Cluster 1,United States,May,2006,19-05-2006,Conor Maynard,Conor Maynard,Music,Conor Maynard,19.013698630,19,88.2,43100,517800,37.09024,-95.712891,2700,32400,517800,13500000,328239523,848,13500000,200000,1,14.7,321,270663028,2750993392,10787000
US,,Howto & Style,Cluster 1,United States,Sep,2010,09-09-2010,Wengie,Wengie,Howto & Style,Wengie,14.701369863,9,88.2,5300,64100,37.09024,-95.712891,334,4000,64100,13500000,328239523,849,13500000,100000,1,14.7,462,270663028,1900272833,1335000
US,,Others,Cluster 1,United States,Nov,2018,08-11-2018,Vlad y Niki Show,Vlad y Niki Show,Others,Vlad y Niki Show,6.531506849,8,88.2,368900,4400000,37.09024,-95.712891,23100,276700,4400000,13400000,328239523,850,13400000,200000,1,14.7,477,270663028,4622628957,92228000
CO,,Music,Cluster 4,Colombia,Feb,2007,08-02-2007,Codiscos,Codiscos,Music,Codiscos,18.287671233,8,55.3,915600,11000000,4.570868,-74.297333,57200,686700,11000000,13400000,50339443,851,13400000,100000,1,9.71,7356,40827302,11789678655,228902000
IN,,People & Blogs,Cluster 3,India,Sep,2016,09-09-2016,The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,People & Blogs,The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,8.695890411,9,28.1,4200,50100,20.593684,78.96288,261,3100,50100,13400000,1366417754,852,13400000,200000,1,5.36,1028,471031528,2139769210,1043000
IN,,Others,Cluster 3,India,Jun,2022,05-06-2022,Vibhu 96,Vibhu 96,Others,Vibhu 96,2.956164384,5,28.1,81100,972700,20.593684,78.96288,5100,60800,972700,13400000,1366417754,853,13400000,300000,1,5.36,256,471031528,20563378,20264000
IN,,Entertainment,Cluster 3,India,Jul,2017,04-07-2017,Blockbuster Movies,Blockbuster Movies,Entertainment,Blockbuster Movies,7.879452055,4,28.1,0,0,20.593684,78.96288,0,0,0,13400000,1366417754,854,13400000,200000,1,5.36,0,471031528,2650061211,71118000
US,,Howto & Style,Cluster 1,United States,Dec,2006,16-12-2006,ATHLEAN-Xï¿½,ATHLEAN-Xï¿½,Howto & Style,ATHLEAN-Xï¿½,18.435616438,16,88.2,58000,695900,37.09024,-95.712891,3600,43500,695900,13400000,328239523,855,13400000,200000,1,14.7,1349,270663028,2319515787,14498000
TH,,Comedy,Cluster 2,Thailand,Dec,2014,08-12-2014,My Mate Nate,My Mate Nate,Comedy,My Mate Nate,10.452054795,8,49.3,166700,2000000,15.870032,100.992541,10400,125000,2000000,13400000,69625582,856,13400000,200000,1,0.75,1195,35294600,3363634923,41672000
US,,Gaming,Cluster 1,United States,May,2007,24-05-2007,H2ODelirious,H2ODelirious,Gaming,H2ODelirious,18,24,88.2,67100,805700,37.09024,-95.712891,4200,50400,805700,13400000,328239523,857,13400000,200000,1,14.7,3727,270663028,4356686216,16785000
PH,,News & Politics,Cluster 2,Philippines,Oct,2007,29-10-2007,GMA Integrated News,GMA Integrated News,News & Politics,GMA Integrated News,17.567123288,29,35.5,461800,5500000,12.879721,121.774017,28900,346400,5500000,13400000,108116615,858,13400000,100000,1,2.15,296272,50975903,9569814790,115459000
US,,People & Blogs,Cluster 1,United States,Jun,2014,01-06-2014,Peet Montzingo,Peet Montzingo,People & Blogs,Peet Montzingo,10.972602740,1,88.2,1600000,19100000,37.09024,-95.712891,99400,1200000,19100000,13400000,328239523,859,13400000,500000,1,14.7,319,270663028,10022557589,397715000
US,,People & Blogs,Cluster 1,United States,Jan,2006,17-01-2006,Tom Duggan,Tom Duggan,People & Blogs,The Q,19.347945205,17,88.2,0.01,0.14,37.09024,-95.712891,0,0.01,0.14,13400000,328239523,860,13400000,1,1,14.7,96,270663028,4306212515,3
IN,,Science & Technology,Cluster 3,India,Nov,2011,02-11-2011,Trakin Tech,Trakin Tech,Science & Technology,Trakin Tech,13.553424658,2,28.1,174700,2100000,20.593684,78.96288,10900,131000,2100000,13300000,1366417754,861,13300000,100000,1,5.36,3640,471031528,2262690743,43669000
US,,Gaming,Cluster 1,United States,Nov,2006,27-11-2006,theRadBrad,theRadBrad,Gaming,theRadBrad,18.487671233,27,88.2,62800,753300,37.09024,-95.712891,3900,47100,753300,13300000,328239523,862,13300000,200000,1,14.7,8195,270663028,6050102764,15694000
US,,Entertainment,Cluster 1,United States,Nov,2007,28-11-2007,Matt Steffanina,Matt Steffanina,Entertainment,Matt Steffanina,17.484931507,28,88.2,7700,92600,37.09024,-95.712891,482,5800,92600,13300000,328239523,863,13300000,200000,1,14.7,331,270663028,3299216601,1929000
US,,Entertainment,Cluster 1,United States,Oct,2007,16-10-2007,Kurt Hugo Schneider,Kurt Hugo Schneider,Entertainment,Kurt Hugo Schneider,17.602739726,16,88.2,16900,203200,37.09024,-95.712891,1100,12700,203200,13300000,328239523,865,13300000,200000,1,14.7,698,270663028,3733856870,4233000
US,,Entertainment,Cluster 1,United States,Jun,2008,29-06-2008,Vogue,Vogue,Entertainment,Vogue,16.898630137,29,88.2,180400,2200000,37.09024,-95.712891,11300,135300,2200000,13300000,328239523,866,13300000,100000,1,14.7,3166,270663028,4177184071,45095000
RU,,People & Blogs,Cluster 4,Russia,Oct,2015,04-10-2015,ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýý,People & Blogs,ýýýýýýýýýýýýýýýýýý,9.630136986,4,81.9,361000,4300000,61.52401,105.318756,22600,270700,4300000,13300000,144373535,867,13300000,100000,1,4.59,608,107683889,6482687220,90241000
US,,People & Blogs,Cluster 1,United States,Nov,2011,26-11-2011,Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,People & Blogs,Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13.487671233,26,88.2,647600,7800000,37.09024,-95.712891,40500,485700,7800000,13300000,328239523,868,13300000,100000,1,14.7,2742,270663028,9088562002,161889000
UA,,Entertainment,Cluster 4,Ukraine,Sep,2014,08-09-2014,VexTrex,VexTrex,Entertainment,VexTrex,10.701369863,8,82.7,0,0,48.379433,31.16558,0,0,0,13300000,44385155,869,13300000,200000,1,8.88,2411,30835699,7923901253,379346000
US,,Gaming,Cluster 1,United States,May,2007,07-05-2007,penguinz0,penguinz0,Gaming,penguinz0,18.046575342,7,88.2,755800,9100000,37.09024,-95.712891,47200,566800,9100000,13300000,328239523,870,13300000,200000,1,14.7,4613,270663028,7773543609,188948000
US,,Comedy,Cluster 1,United States,Jan,2007,14-01-2007,Just For Laughs Gags,Just For Laughs Gags,Comedy,Just For Laughs Gags,18.356164384,14,88.2,69900,838500,37.09024,-95.712891,4400,52400,838500,13300000,328239523,871,13300000,100000,1,14.7,6916,270663028,7406628736,17468000
IN,,Howto & Style,Cluster 3,India,Oct,2014,07-10-2014,Kabita's Kitchen,Kabita's Kitchen,Howto & Style,Kabita's Kitchen,10.621917808,7,28.1,172500,2100000,20.593684,78.96288,10800,129400,2100000,13300000,1366417754,872,13300000,200000,1,5.36,1489,471031528,2831275503,43118000
SA,,Gaming,Cluster 4,Saudi Arabia,Aug,2013,20-08-2013,BanderitaX,BanderitaX,Gaming,BanderitaX,11.753424658,20,68,282800,3400000,23.885942,45.079162,17700,212100,3400000,13300000,34268528,873,13300000,200000,1,5.93,1640,28807838,4129249415,70712000
CA,,Gaming,Cluster 4,Canada,May,2015,08-05-2015,AzzyLand,AzzyLand,Gaming,AzzyLand,10.038356164,8,68.9,21500,258600,56.130366,-106.346771,1300,16200,258600,13300000,36991981,874,13300000,100000,1,5.56,1749,30628482,6412313570,5387000
US,,Entertainment,Cluster 1,United States,Feb,2021,20-02-2021,HUBAï¿½ï¿½,HUBAï¿½ï¿½,Entertainment,HUBAï¿½ï¿½,4.243835616,20,88.2,1300000,15300000,37.09024,-95.712891,79900,958900,15300000,13200000,328239523,875,13200000,500000,1,14.7,538,270663028,9884886099,319647000
RU,,Entertainment,Cluster 4,Russia,Jan,2019,10-01-2019,BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Entertainment,BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,6.358904110,10,81.9,35100,420900,61.52401,105.318756,2200,26300,420900,13200000,144373535,876,13200000,200000,1,4.59,192,107683889,1148422000,8769000
FI,,Gaming,Cluster 4,Finland,Apr,2017,28-04-2017,Brawl Stars,Brawl Stars,Gaming,Brawl Stars,8.063013699,28,88.2,81500,977700,61.92411,25.748151,5100,61100,977700,13200000,5520314,877,13200000,200000,1,6.59,172,4716888,2036408398,20369000
IN,,Entertainment,Cluster 3,India,Dec,2010,27-12-2010,Sonotek Bhakti,Sonotek Bhakti,Entertainment,Sonotek Bhakti,14.402739726,27,28.1,101300,1200000,20.593684,78.96288,6300,76000,1200000,13200000,1366417754,879,13200000,200000,1,5.36,8019,471031528,3789736218,25321000
ID,,Others,Cluster 2,Indonesia,Sep,2013,25-09-2013,Vilmei,Vilmei,Others,Vilmei,11.654794521,25,36.3,1100000,12700000,-0.789275,113.921327,66100,792900,12700000,13200000,270203917,880,13200000,800000,1,4.69,1324,151509724,4205664894,264308000
BR,,Entertainment,Cluster 1,Brazil,Jan,2018,17-01-2018,MC Divertida,MC Divertida,Entertainment,MC Divertida,7.339726027,17,51.3,258100,3100000,-14.235004,-51.92528,16100,193600,3100000,13200000,212559417,881,13200000,100000,1,12.08,413,183241641,5224764969,64517000
US,,Education,Cluster 1,United States,Feb,2011,26-02-2011,The Infographics Show,The Infographics Show,Education,The Infographics Show,14.235616438,26,88.2,207300,2500000,37.09024,-95.712891,13000,155500,2500000,13200000,328239523,882,13200000,100000,1,14.7,4279,270663028,5263540904,51820000
CO,,Music,Cluster 4,Colombia,Sep,2010,30-09-2010,jbalvinVEVO,jbalvinVEVO,Music,jbalvinVEVO,14.643835616,30,55.3,345100,4100000,4.570868,-74.297333,21600,258800,4100000,13200000,50339443,883,13200000,200000,1,9.71,237,40827302,20743586601,86270000
US,,People & Blogs,Cluster 1,United States,May,2011,16-05-2011,ýýýýýýTwinsFromRussia,ýýýýýýTwinsFromRussia,People & Blogs,ýýýýýýTwinsFromRussia,14.019178082,16,88.2,477600,5700000,37.09024,-95.712891,29800,358200,5700000,13200000,328239523,884,13200000,300000,1,14.7,6888,270663028,9378175604,119389000
IN,,Science & Technology,Cluster 3,India,Nov,2015,17-11-2015,Technology Gyan,Technology Gyan,Science & Technology,Technology Gyan,9.509589041,17,28.1,74100,888900,20.593684,78.96288,4600,55600,888900,13200000,1366417754,885,13200000,100000,1,5.36,1022,471031528,1138262456,18518000
IN,,People & Blogs,Cluster 3,India,Apr,2017,04-04-2017,CookingShooking Hindi,CookingShooking Hindi,People & Blogs,CookingShooking Hindi,8.128767123,4,28.1,46000,551500,20.593684,78.96288,2900,34500,551500,13200000,1366417754,886,13200000,200000,1,5.36,393,471031528,1758603195,11490000
US,,Entertainment,Cluster 1,United States,Jun,2022,27-06-2022,Ryan Trahan,Ryan Trahan,Entertainment,Ryan Trahan,2.895890411,27,88.2,0.99,12,37.09024,-95.712891,0.06,0.74,12,13100000,328239523,887,13100000,1,1,14.7,33,270663028,2182651464,248
PH,,People & Blogs,Cluster 2,Philippines,Jul,2017,18-07-2017,Alex Gonzaga Official,Alex Gonzaga Official,People & Blogs,Alex Gonzaga Official,7.841095890,18,35.5,43400,520700,12.879721,121.774017,2700,32500,520700,13100000,108116615,888,13100000,200000,1,2.15,287,50975903,1401914513,10848000
US,,Others,Cluster 1,United States,Jun,2016,12-06-2016,WiederDude,WiederDude,Others,WiederDude,8.939726027,12,88.2,227600,2700000,37.09024,-95.712891,14200,170700,2700000,13100000,328239523,889,13100000,100000,1,14.7,289,270663028,2733682792,56894000
IN,,Music,Cluster 3,India,Dec,2010,27-12-2010,Lokdhun Punjabi,Lokdhun Punjabi,Music,Lokdhun Punjabi,14.402739726,27,28.1,137800,1700000,20.593684,78.96288,8600,103300,1700000,13100000,1366417754,891,13100000,100000,1,5.36,1262,471031528,4712624489,34438000
BR,,People & Blogs,Cluster 1,Brazil,Nov,2015,06-11-2015,Painzeiro,Painzeiro,People & Blogs,Painzeiro,9.539726027,6,51.3,176000,2100000,-14.235004,-51.92528,11000,132000,2100000,13100000,212559417,893,13100000,100000,1,12.08,1077,183241641,2555801802,43990000
BR,,Film & Animation,Cluster 1,Brazil,May,2014,06-05-2014,Peppa Pig em Portuguï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Peppa Pig em Portuguï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Film & Animation,Peppa Pig em Portuguï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,11.043835616,6,51.3,109400,1300000,-14.235004,-51.92528,6800,82000,1300000,13100000,212559417,894,13100000,100000,1,12.08,1365,183241641,4214172991,27340000
US,,People & Blogs,Cluster 1,United States,Feb,2017,15-02-2017,ýýýýýýýýýýýýýýý Ms Yeah,ýýýýýýýýýýýýýýý Ms Yeah,People & Blogs,ýýýýýýýýýýýýýýý Ms Yeah,8.260273973,15,88.2,242600,2900000,37.09024,-95.712891,15200,182000,2900000,13100000,328239523,895,13100000,100000,1,14.7,435,270663028,4399833602,60661000
BR,,Music,Cluster 1,Brazil,Apr,2013,13-04-2013,Hungria Hip Hop,Hungria Hip Hop,Music,Hungria Hip Hop,12.106849315,13,51.3,192900,2300000,-14.235004,-51.92528,12100,144700,2300000,13100000,212559417,896,13100000,200000,1,12.08,73,183241641,4608751851,48223000
EC,,People & Blogs,Cluster 2,Ecuador,Jul,2016,16-07-2016,RaptorGamer,RaptorGamer,People & Blogs,RaptorGamer,8.846575342,16,44.9,251600,3000000,-1.831239,-78.183406,15700,188700,3000000,13100000,17373662,897,13100000,300000,1,3.97,1444,11116711,2879263916,62909000
BR,,Entertainment,Cluster 1,Brazil,Oct,2011,18-10-2011,RedeTV,RedeTV,Entertainment,RedeTV,13.594520548,18,51.3,70400,844200,-14.235004,-51.92528,4400,52800,844200,13100000,212559417,898,13100000,200000,1,12.08,36760,183241641,5333569294,17588000
US,,Music,Cluster 1,United States,Sep,2009,05-09-2009,twenty one pilots,twenty one pilots,Music,twenty one pilots,15.712328767,5,88.2,203700,2400000,37.09024,-95.712891,12700,152800,2400000,13100000,328239523,899,13100000,200000,1,14.7,194,270663028,5264039679,50922000
WS,,Music,Cluster 2,Samoa,May,2006,27-05-2006,DjKhaled,DjKhaled,Music,DJ Khaled,18.991780822,27,7.6,2,18,-13.759029,-172.104629,0.09,1,18,13100000,202506,900,13100000,3,1,8.36,12,35588,6637820731,379
IT,,Entertainment,Cluster 4,Italy,May,2011,18-05-2011,Davie504,Davie504,Entertainment,Davie504,14.013698630,18,61.9,119500,1400000,41.87194,12.56738,7500,89600,1400000,13000000,60297396,901,13000000,100000,1,9.89,838,42651966,2683297849,29870000
BR,,Comedy,Cluster 1,Brazil,Mar,2009,26-03-2009,Everson Zoio,Everson Zoio,Comedy,Everson Zoio,16.158904110,26,51.3,12200,146500,-14.235004,-51.92528,763,9200,146500,13000000,212559417,902,13000000,200000,1,12.08,625,183241641,1024467771,3052000
ID,,Entertainment,Cluster 2,Indonesia,Jan,2016,20-01-2016,Calon Sarjana,Calon Sarjana,Entertainment,Calon Sarjana,9.334246575,20,36.3,0,0,-0.789275,113.921327,0,0,0,13000000,270203917,903,13000000,300000,1,4.69,29,151509724,10664585,2292000000
FR,,Music,Cluster 4,France,Mar,2015,18-03-2015,Lofi Girl,Lofi Girl,Music,Lofi Girl,10.178082192,18,65.6,121900,1500000,46.227638,2.213749,7600,91400,1500000,13000000,67059887,904,13000000,100000,1,8.43,409,54123364,1698279553,30471000
IN,,Entertainment,Cluster 3,India,Mar,2021,18-03-2021,SRK Edie soon,SRK Edie soon,Entertainment,Jomy Production,4.172602740,18,28.1,0.01,0.1,20.593684,78.96288,0,0.01,0.1,13000000,1366417754,905,13000000,200000,1,5.36,8,471031528,5057163256,2
KR,,Gaming,Cluster 4,South Korea,Jul,2020,07-07-2020,GH'S,GH'S,Gaming,GH'S,4.868493151,7,94.3,4300000,51900000,35.907757,127.766922,270300,3200000,51900000,13000000,51709098,906,13000000,1000000,1,4.15,510,42106719,8739174649,1081000000
US,,Entertainment,Cluster 1,United States,Apr,2007,29-04-2007,JesseAndMike,JesseAndMike,Entertainment,JesseAndMike,18.068493151,29,88.2,164400,2000000,37.09024,-95.712891,10300,123300,2000000,13000000,328239523,907,13000000,200000,1,14.7,716,270663028,9999238237,41109000
